officialFullName,gender
Don Young,M
Bradley Byrne,M
Martha Roby,F
Mike Rogers,M
Robert B. Aderholt,M
Mo Brooks,M
Gary J. Palmer,M
Terri A. Sewell,F
"Eric A. ""Rick"" Crawford",M
J. French Hill,M
Steve Womack,M
Bruce Westerman,M
Aumua Amata Coleman Radewagen,F
Tom O'Halleran,M
Ann Kirkpatrick,F
Ra'ul M. Grijalva,M
Paul A. Gosar,M
Andy Biggs,M
David Schweikert,M
Ruben Gallego,M
Debbie Lesko,F
,M
Doug LaMalfa,M
Jared Huffman,M
John Garamendi,M
Tom McClintock,M
Mike Thompson,M
Doris O. Matsui,F
Ami Bera,M
Paul Cook,M
Jerry McNerney,M
,M
Mark DeSaulnier,M
Nancy Pelosi,F
Barbara Lee,F
Jackie Speier,F
Eric Swalwell,M
Jim Costa,M
Ro Khanna,M
Anna G. Eshoo,F
Zoe Lofgren,F
Jimmy Panetta,M
,M
Devin Nunes,M
Kevin McCarthy,M
Salud O. Carbajal,M
,F
Julia Brownley,F
Judy Chu,F
Adam B. Schiff,M
Tony C'ardenas,M
Brad Sherman,M
Pete Aguilar,M
Grace F. Napolitano,F
Ted Lieu,M
Jimmy Gomez,M
Norma J. Torres,F
Raul Ruiz,M
Karen Bass,F
Linda T. S'anchez,F
,M
Lucille Roybal-Allard,F
Mark Takano,M
Ken Calvert,M
Maxine Waters,F
Nanette Diaz Barrag'an,F
,F
J. Luis Correa,M
Alan S. Lowenthal,M
,M
,M
Duncan Hunter,M
Juan Vargas,M
Scott H. Peters,M
Susan A. Davis,F
Diana DeGette,F
,M
Scott R. Tipton,M
Ken Buck,M
Doug Lamborn,M
,M
Ed Perlmutter,M
John B. Larson,M
Joe Courtney,M
Rosa L. DeLauro,F
James A. Himes,M
,F
Eleanor Holmes Norton,F
Lisa Blunt Rochester,F
Matt Gaetz,M
Neal P. Dunn,M
Ted S. Yoho,M
John H. Rutherford,M
"Al Lawson, Jr.",M
,M
Stephanie N. Murphy,F
Bill Posey,M
Darren Soto,M
Val Butler Demings,F
Daniel Webster,M
Gus M. Bilirakis,M
Charlie Crist,M
Kathy Castor,F
,M
Vern Buchanan,M
,M
Brian J. Mast,M
Francis Rooney,M
Alcee L. Hastings,M
Lois Frankel,F
Theodore E. Deutch,M
Debbie Wasserman Schultz,F
Frederica S. Wilson,F
Mario Diaz-Balart,M
,F
,F
"Earl L. ""Buddy"" Carter",M
"Sanford D. Bishop, Jr.",M
A. Drew Ferguson IV,M
"Henry C. ""Hank"" Johnson, Jr.",M
John Lewis,M
,F
Rob Woodall,M
Austin Scott,M
Doug Collins,M
Jody B. Hice,M
Barry Loudermilk,M
Rick W. Allen,M
David Scott,M
Tom Graves,M
,M
,M
Tulsi Gabbard,F
,F
David Loebsack,M
,F
Steve King,M
,M
Michael K. Simpson,M
Bobby L. Rush,M
Robin L. Kelly,F
Daniel Lipinski,M
,M
Mike Quigley,M
,M
Danny K. Davis,M
Raja Krishnamoorthi,M
Janice D. Schakowsky,F
Bradley Scott Schneider,M
Bill Foster,M
Mike Bost,M
Rodney Davis,M
,F
John Shimkus,M
Adam Kinzinger,M
Cheri Bustos,F
Darin LaHood,M
Peter J. Visclosky,M
Jackie Walorski,F
Jim Banks,M
,M
Susan W. Brooks,F
,M
Andr'e Carson,M
Larry Bucshon,M
Trey Hollingsworth,M
Roger W. Marshall,M
,M
,F
Ron Estes,M
James Comer,M
Brett Guthrie,M
John A. Yarmuth,M
Thomas Massie,M
Harold Rogers,M
Andy Barr,M
Steve Scalise,M
Cedric L. Richmond,M
Clay Higgins,M
Mike Johnson,M
Ralph Lee Abraham,M
Garret Graves,M
Richard E. Neal,M
James P. McGovern,M
,F
Joseph P. Kennedy III,M
Katherine M. Clark,F
Seth Moulton,M
,F
Stephen F. Lynch,M
William R. Keating,M
Andy Harris,M
C. A. Dutch Ruppersberger,M
John P. Sarbanes,M
Anthony G. Brown,M
Steny H. Hoyer,M
,M
Elijah E. Cummings,M
Jamie Raskin,M
Chellie Pingree,F
,
Jack Bergman,M
Bill Huizenga,M
Justin Amash,M
John R. Moolenaar,M
Daniel T. Kildee,M
Fred Upton,M
Tim Walberg,M
,F
,M
Paul Mitchell,M
,F
Debbie Dingell,F
,F
Brenda L. Lawrence,F
,M
,F
,M
Betty McCollum,F
,F
Tom Emmer,M
Collin C. Peterson,M
,M
Wm. Lacy Clay,M
Ann Wagner,F
Blaine Luetkemeyer,M
Vicky Hartzler,F
Emanuel Cleaver,M
Sam Graves,M
Billy Long,M
Jason Smith,M
Gregorio Kilili Camacho Sablan,M
Trent Kelly,M
Bennie G. Thompson,M
,M
Steven M. Palazzo,M
Greg Gianforte,M
G. K. Butterfield,M
George Holding,M
Walter B. Jones,M
David E. Price,M
Virginia Foxx,F
Mark Walker,M
David Rouzer,M
Richard Hudson,M
,
Patrick T. McHenry,M
Mark Meadows,M
Alma S. Adams,F
Ted Budd,M
,M
Jeff Fortenberry,M
Don Bacon,M
Adrian Smith,M
,M
Ann M. Kuster,F
Donald Norcross,M
,M
,M
Christopher H. Smith,M
Josh Gottheimer,M
"Frank Pallone, Jr.",M
,M
Albio Sires,M
"Bill Pascrell, Jr.",M
"Donald M. Payne, Jr.",M
,F
Bonnie Watson Coleman,F
,F
,F
Ben Ray Luj'an,M
Dina Titus,F
Mark E. Amodei,M
,F
Steven A. Horsford,M
Lee M. Zeldin,M
Peter T. King,M
Thomas R. Suozzi,M
Kathleen M. Rice,F
Gregory W. Meeks,M
Grace Meng,F
Nydia M. Vel'azquez,F
Hakeem S. Jeffries,M
Yvette D. Clarke,F
Jerrold Nadler,M
,M
Carolyn B. Maloney,F
Adriano Espaillat,M
,F
Jos'e E. Serrano,M
Eliot L. Engel,M
Nita M. Lowey,F
Sean Patrick Maloney,M
,M
Paul Tonko,M
Elise M. Stefanik,F
,M
Tom Reed,M
John Katko,M
Joseph D. Morelle,M
Brian Higgins,M
Chris Collins,M
Steve Chabot,M
Brad R. Wenstrup,M
Joyce Beatty,F
Jim Jordan,M
Robert E. Latta,M
Bill Johnson,M
Bob Gibbs,M
Warren Davidson,M
Marcy Kaptur,F
Michael R. Turner,M
Marcia L. Fudge,F
Troy Balderson,M
Tim Ryan,M
David P. Joyce,M
Steve Stivers,M
,M
Kevin Hern,M
Markwayne Mullin,M
Frank D. Lucas,M
Tom Cole,M
,F
Suzanne Bonamici,F
Greg Walden,M
Earl Blumenauer,M
Peter A. DeFazio,M
Kurt Schrader,M
Brian K. Fitzpatrick,M
Brendan F. Boyle,M
Dwight Evans,M
,F
Mary Gay Scanlon,F
,F
Susan Wild,F
Matt Cartwright,M
,M
Scott Perry,M
Lloyd Smucker,M
Tom Marino,M
,M
,M
Glenn Thompson,M
Mike Kelly,M
Conor Lamb,M
Michael F. Doyle,M
Jenniffer Gonz'alez-Col'on,F
David N. Cicilline,M
James R. Langevin,M
,M
Joe Wilson,M
Jeff Duncan,M
,M
Ralph Norman,M
James E. Clyburn,M
Tom Rice,M
,M
David P. Roe,M
,M
"Charles J. ""Chuck"" Fleischmann",M
Scott DesJarlais,M
Jim Cooper,M
,M
,M
David Kustoff,M
Steve Cohen,M
Louie Gohmert,M
,M
,M
John Ratcliffe,M
,M
,M
,F
Kevin Brady,M
Al Green,M
Michael T. McCaul,M
K. Michael Conaway,M
Kay Granger,F
Mac Thornberry,M
"Randy K. Weber, Sr.",M
Vicente Gonzalez,M
,F
Bill Flores,M
Sheila Jackson Lee,F
Jodey C. Arrington,M
Joaquin Castro,M
,M
Pete Olson,M
Will Hurd,M
Kenny Marchant,M
Roger Williams,M
Michael C. Burgess,M
Michael Cloud,M
Henry Cuellar,M
,F
Eddie Bernice Johnson,F
John R. Carter,M
,M
Marc A. Veasey,M
Filemon Vela,M
Lloyd Doggett,M
Brian Babin,M
Rob Bishop,M
Chris Stewart,M
John R. Curtis,M
,M
Robert J. Wittman,M
,F
"Robert C. ""Bobby"" Scott",M
A. Donald McEachin,M
,M
,M
,F
"Donald S. Beyer, Jr.",M
H. Morgan Griffith,M
,F
Gerald E. Connolly,M
Stacey E. Plaskett,F
Peter Welch,M
Suzan K. DelBene,F
Rick Larsen,M
Jaime Herrera Beutler,F
Dan Newhouse,M
Cathy McMorris Rodgers,F
Derek Kilmer,M
Pramila Jayapal,F
,F
Adam Smith,M
Denny Heck,M
,M
Mark Pocan,M
Ron Kind,M
Gwen Moore,F
"F. James Sensenbrenner, Jr.",M
Glenn Grothman,M
Sean P. Duffy,M
Mike Gallagher,M
David B. McKinley,M
Alexander X. Mooney,M
,F
Liz Cheney,F
Lisa Murkowski,F
Dan Sullivan,M
Doug Jones,M
Richard C. Shelby,M
John Boozman,M
Tom Cotton,M
Martha McSally,F
Kyrsten Sinema,F
Dianne Feinstein,F
Kamala D. Harris,F
Michael F. Bennet,M
Cory Gardner,M
Richard Blumenthal,M
Christopher Murphy,M
Thomas R. Carper,M
Christopher A. Coons,M
Marco Rubio,M
,M
Johnny Isakson,M
David Perdue,M
Mazie K. Hirono,F
Brian Schatz,M
Joni Ernst,F
Chuck Grassley,M
Mike Crapo,M
James E. Risch,M
Tammy Duckworth,F
Richard J. Durbin,M
,M
Todd Young,M
Jerry Moran,M
Pat Roberts,M
Mitch McConnell,M
Rand Paul,M
Bill Cassidy,M
John Kennedy,M
Edward J. Markey,M
Elizabeth Warren,F
Benjamin L. Cardin,M
Chris Van Hollen,M
Susan M. Collins,F
"Angus S. King, Jr.",M
Gary C. Peters,M
Debbie Stabenow,F
Amy Klobuchar,F
Tina Smith,F
Roy Blunt,M
,M
Cindy Hyde-Smith,F
Roger F. Wicker,M
Steve Daines,M
Jon Tester,M
Richard Burr,M
Thom Tillis,M
Kevin Cramer,M
John Hoeven,M
Deb Fischer,F
Ben Sasse,M
Margaret Wood Hassan,F
Jeanne Shaheen,F
Cory A. Booker,M
Robert Menendez,M
Martin Heinrich,M
Tom Udall,M
Catherine Cortez Masto,F
Jacky Rosen,F
Kirsten E. Gillibrand,F
Charles E. Schumer,M
Sherrod Brown,M
Rob Portman,M
James M. Inhofe,M
James Lankford,M
Jeff Merkley,M
Ron Wyden,M
"Robert P. Casey, Jr.",M
Patrick J. Toomey,M
Jack Reed,M
Sheldon Whitehouse,M
Lindsey Graham,M
Tim Scott,M
Mike Rounds,M
John Thune,M
Lamar Alexander,M
Marsha Blackburn,F
John Cornyn,M
Ted Cruz,M
Mike Lee,M
,M
Tim Kaine,M
Mark R. Warner,M
Patrick J. Leahy,M
Bernard Sanders,M
Maria Cantwell,F
Patty Murray,F
Tammy Baldwin,F
Ron Johnson,M
Shelley Moore Capito,F
"Joe Manchin, III",M
John Barrasso,M
Michael B. Enzi,M
