Date,Duration,Character,Vehicle,Tires,Glider,Game
2020-12-28,115,Metal Mario,B Dasher,Red Monster,Flower Glider,Mariokart 7
2021-02-02,79,Metal Mario,Bruiser,Slick,Swooper,Mariokart 7
2020-12-15,128,Honey Queen,B Dasher,Slick,Beast Glider,Mariokart 7
2021-02-02,79,Metal Mario,Bruiser,Red Monster,Super Glider,Mariokart 7
2020-12-12,131,Honey Queen,Bruiser,Slick,Peach Parasol,Mariokart 7
2020-09-14,220,Honey Queen,B Dasher,Red Monster,Peach Parasol,Mariokart 7
2020-01-12,466,Metal Mario,B Dasher,Slick,Gold Glider,Mariokart 7
2019-12-28,481,Honey Queen,Bruiser,Slick,Beast Glider,Mariokart 7
2021-02-10,71,Honey Queen,B Dasher,Slick,Beast Glider,Mariokart 7
2019-03-27,757,Yoshi,Egg 1,Wood,Super Glider,Mariokart 7
2020-05-04,353,Metal Mario,Koopa Clown,Red Monster,Swooper,Mariokart 7
2021-01-09,103,Wario,B Dasher,Slick,Super Glider,Mariokart 7
2019-11-03,536,Bowser,B Dasher,Slick,Beast Glider,Mariokart 7
2021-04-04,18,Metal Mario,B Dasher,Red Monster,Flower Glider,Mariokart 7
2020-11-11,162,Bowser,B Dasher,Slick,Beast Glider,Mariokart 7
2020-02-08,439,Metal Mario,B Dasher,Slick,Gold Glider,Mariokart 7
2020-11-05,168,Metal Mario,B Dasher,Red Monster,Flower Glider,Mariokart 7
2021-04-13,9,Wario,B Dasher,Slick,Beast Glider,Mariokart 7
2021-02-14,67,Wario,B Dasher,Slick,Peach Parasol,Mariokart 7
2021-02-20,61,Wario,B Dasher,Red Monster,Super Glider,Mariokart 7
2020-10-20,184,Metal Mario,B Dasher,Slick,Super Glider,Mariokart 7
2019-07-16,646,Wario,B Dasher,Mushroom,Flower Glider,Mariokart 7
2020-11-19,154,Metal Mario,B Dasher,Slick,Super Glider,Mariokart 7
2021-02-04,77,Metal Mario,B Dasher,Slick,Flower Glider,Mariokart 7
2020-12-29,114,Metal Mario,Zucchini,Red Monster,Super Glider,Mariokart 7
2019-11-26,513,Metal Mario,Blue 7,Red Monster,Super Glider,Mariokart 7
2021-02-21,60,Metal Mario,B Dasher,Slick,Swooper,Mariokart 7
2020-10-06,198,Bowser,B Dasher,Slick,Beast Glider,Mariokart 7
2019-12-06,503,Metal Mario,Blue 7,Red Monster,Swooper,Mariokart 7
2021-04-17,5,Metal Mario,B Dasher,Slick,Beast Glider,Mariokart 7
2020-08-22,243,Metal Mario,B Dasher,Mushroom,Swooper,Mariokart 7
2020-12-16,127,Honey Queen,B Dasher,Slick,Peach Parasol,Mariokart 7
NA,NA,NA,NA,NA,NA,Mariokart 7
2017-04-02,1481,Heavy Mii,Gold Standard,Slick,Cloud Glider,Mariokart 8
2017-05-25,1428,Morton,Streetle,Leaf Tires,Cloud Glider,Mariokart 8
2020-06-26,300,Morton,Streetle,Slick,Cloud Glider,Mariokart 8
